code,ANT,HAM,RUS,VER,NOR,LEC,PIA,HAD,GAS,LAW,LIN,COL,BEA,BOR,SAI,HUL,OCO,ALB,ALO,PER,STR,BOT
ANT,,53.81,59.7,65.07,64.82,67.71,67.59,73.81,73.15,73.72,75.98,75.41,79.24,77.39,78.02,78.08,78.48,78.75,82.77,79.66,83.49,82.68
HAM,46.1,,56.16,62.82,62.57,65.14,65.85,72.96,72.69,72.55,75.23,73.95,79.63,77.03,78.08,78.45,78.84,79.2,83.75,80.2,85.69,83.99
RUS,39.96,43.71,,56.06,56.83,58.29,58.72,66.13,66.25,66.66,69.35,68.18,73.04,71.32,72.29,72.15,72.25,72.72,77.44,73.35,79.6,78.24
VER,34.48,36.88,43.4,,50.16,51.81,52.48,59.94,60.63,60.68,63.6,62.77,68.51,65.62,66.61,66.64,66.01,66.59,71.97,68.15,74.17,72.76
NOR,34.57,37.13,42.58,48.8,,51.24,51.82,58.19,58.75,58.74,61.53,60.62,65.98,63.44,64.57,63.64,64.15,64.97,69.71,65.78,71.58,69.33
LEC,31.79,34.71,41.17,47.46,47.68,,50.25,58.2,59.0,58.35,61.66,60.48,66.29,63.53,64.7,64.39,64.89,65.1,71.14,66.45,72.94,71.63
PIA,31.84,33.78,40.59,46.41,46.85,48.73,,55.94,57.03,56.83,59.81,57.88,63.67,61.48,62.54,62.01,62.28,63.0,67.98,63.32,69.47,68.7
HAD,25.32,26.67,32.99,38.64,39.8,40.58,42.15,,49.78,49.95,53.17,51.97,57.92,54.69,55.4,55.39,55.26,56.21,61.17,56.78,63.84,62.64
GAS,25.8,26.91,32.69,37.72,39.34,39.67,40.88,47.42,,48.71,51.75,49.88,55.84,53.06,53.21,53.88,53.83,54.03,58.83,54.61,61.29,60.1
LAW,25.14,26.98,32.37,37.78,39.02,40.22,41.15,47.41,48.21,,51.28,50.19,54.76,53.51,53.02,53.46,53.3,54.35,58.87,55.0,61.28,60.07
LIN,22.7,24.25,29.46,34.64,35.67,36.65,37.66,43.55,44.62,44.82,,46.46,51.47,49.15,49.81,49.71,50.28,49.92,54.99,50.93,57.52,55.74
COL,23.63,25.49,30.73,35.91,36.94,37.87,40.02,45.33,46.8,46.54,49.61,,54.65,51.7,52.6,52.15,52.18,52.89,58.3,53.72,60.05,58.83
BEA,19.46,19.71,25.61,29.3,30.92,31.8,33.07,38.49,39.83,40.64,43.79,40.86,,44.08,44.31,44.32,44.85,45.26,50.37,46.01,51.49,50.94
BOR,21.37,22.42,27.44,32.42,33.84,34.56,35.85,42.21,43.47,42.38,46.65,44.34,50.93,,48.36,47.69,48.58,48.58,53.76,49.18,55.7,54.82
SAI,20.62,21.35,26.39,31.26,32.71,33.58,34.99,41.26,42.99,42.97,46.03,43.54,50.17,47.12,,47.56,47.61,47.89,52.85,49.03,55.26,54.68
HUL,20.67,21.01,26.63,31.56,33.62,33.84,35.64,41.46,42.37,43.02,45.65,43.78,50.45,47.75,47.76,,48.02,48.26,53.39,48.78,55.79,54.55
OCO,20.41,20.66,26.67,32.27,33.27,33.3,35.46,41.94,42.43,43.15,45.64,43.93,49.85,47.04,47.97,47.81,,48.26,53.46,48.75,55.82,54.3
ALB,20.04,20.22,26.23,31.56,32.64,33.12,34.69,40.76,42.27,41.82,45.48,43.08,49.69,46.9,47.39,47.21,47.31,,53.17,48.92,55.9,54.3
ALO,15.9,15.65,21.15,25.77,27.27,26.87,29.07,34.96,36.46,36.62,39.84,37.14,43.89,40.93,41.7,41.33,41.53,41.74,,42.83,49.15,47.87
PER,19.19,19.29,25.51,29.89,31.28,31.85,34.14,39.99,41.48,41.11,44.56,42.37,48.84,46.24,46.46,46.88,47.13,46.93,51.92,,54.04,53.56
STR,14.99,13.73,18.92,23.3,25.19,24.73,27.05,32.03,33.75,34.14,36.61,35.45,41.81,38.37,38.64,38.54,38.37,38.24,43.81,40.11,,45.77
BOT,15.82,15.29,20.34,24.85,27.16,25.81,27.77,33.5,34.86,34.7,38.69,35.77,42.23,39.27,39.46,39.39,40.18,40.01,45.51,40.68,46.77,
